"SYMBOL","GSM93789.CEL.gz","GSM93920.CEL.gz","GSM93921.CEL.gz","GSM93922.CEL.gz","GSM93923.CEL.gz","GSM93924.CEL.gz","GSM93925.CEL.gz","GSM93926.CEL.gz","GSM93927.CEL.gz","GSM93928.CEL.gz","GSM93929.CEL.gz","GSM93932.CEL.gz","GSM93938.CEL.gz","GSM93939.CEL.gz","GSM93941.CEL.gz","GSM93943.CEL.gz","GSM93944.CEL.gz","GSM93946.CEL.gz","GSM93948.CEL.gz","GSM93950.CEL.gz","GSM93952.CEL.gz","GSM93954.CEL.gz"
"AACS",6.06378002078358,6.62654398779642,6.30019301276199,5.64613621959395,6.36207289199207,5.74101967682389,5.03794992128325,5.77623610331426,6.13659210312696,6.36289682590262,6.00602240021123,6.84915066948185,6.95287921220007,6.85653981227297,6.42590389883039,6.60149656027004,7.10401354872489,6.8235681772972,6.94198020717015,6.62465653777215,6.93198919728077,6.89444229377798
"AACSP1",2.29545289326228,2.1402507373587,2.20479552807613,2.12307983498065,2.08055376422597,1.9201182888665,1.85244189100392,2.08652811612411,2.15279434763931,2.1242346225924,2.12031232085137,2.1331891278982,2.12252602303929,2.0889798611524,2.28961289705991,2.09051232248954,2.42341524085742,2.4484491347068,2.14538445684551,2.18008556785281,2.33644925071387,2.12488817051136
"AADAC",2.84623651351331,2.44359595955324,2.58126436165498,2.63384494917316,2.44860988873735,2.50992706489445,2.55688738937328,2.60278574390432,2.58306843294936,2.67727489476276,2.8132135991073,2.59341274910376,2.53336302159951,2.63374961995515,3.31515817787915,2.67921664701884,2.86258953027196,2.50992706489445,2.3524621366647,2.59886067496001,2.73014168770691,2.66479397363992
"AADACL2",2.28980906598809,2.12917201967066,2.26538826974671,2.2591789290467,2.3112145896849,2.38935272482905,2.13741175141681,1.79682497858474,1.89756093230968,2.32201403293076,2.14833218915231,2.14833218915231,2.13835759350273,2.10626922782537,2.21547922027572,2.03753607642053,2.01777246165301,2.0749899339031,2.22136192007907,2.00045994184806,2.17682877015627,2.20413006119104
"AADACP1",2.35120726422466,2.81324840861162,2.86920533511484,2.22047973397232,2.49436617311375,2.49210448651336,2.14312599056973,2.53502410372048,2.47527019993858,2.34893924174871,2.38184760511612,2.37658494840348,2.95746064916485,2.44632531727093,3.10594859084975,3.24277713436818,2.44600767070828,2.55169564162337,2.77389489387497,2.48336738197019,2.55395732822377,2.64107321396992
"AADAT",3.62380542684341,3.15291421466269,3.63704841822056,3.55824608287639,3.33975745736207,3.53262409739699,3.53980571402992,3.28873107017196,3.3506032639029,3.73344733404357,4.07622582464246,4.12149608683162,3.39108845200098,3.44613591139872,3.60646846409211,3.48873112815046,3.5555029664761,3.00695709347909,3.46838506148387,3.54730545384734,3.49694480398016,3.1745418899178
"AAGAB",5.37795519594984,5.51360551940206,6.21360282906127,5.35780821484781,5.74072738393621,5.35129509178596,4.93157495635213,5.24232024162758,5.62664800461622,5.44917828125485,5.45474625306465,6.05421253583187,5.71936397136673,6.08672770534793,5.57998927463877,5.70351285185719,5.76237943219092,5.49461280653309,5.9482623009671,5.49007916924737,5.88436054687067,5.76946519863707
"AAK1",4.49097866859482,3.98040814857956,4.55489283733064,4.45743683250938,4.46831151832002,4.5402659494824,3.93809752709939,4.32726898061843,4.42833543868569,4.0765744037778,4.34093480237047,4.50489555653857,4.11600040932362,4.65809689334588,4.36933905645726,4.07817344364584,4.18620794932182,4.1732366366386,4.16567008780797,4.19594006197553,4.46939551327511,4.20284378195211
"AAMDC",4.24069941501119,4.68243285878793,4.79953305376685,4.55221863023153,4.57528219023565,4.36049063676103,5.39189447932697,5.01380565456423,4.26221480563107,4.85280136598246,4.59377896531197,4.51908169947986,4.99961498996423,4.5509230162526,4.81082724960522,4.75667411465768,4.73655674231606,4.7815227669689,4.76102493344485,4.74076674622778,4.72317543898032,4.61125402603319
"AAMP",6.53158970230893,6.59785075338446,6.55722332925105,6.67907953087375,6.39821742388635,6.42891393129316,6.56882347508449,6.66918260888173,6.34857411476023,7.24999141505185,6.54025945082501,6.97473075199934,7.74110516515241,7.31605618918604,6.60959374120572,7.24084543877271,7.20814701077495,7.29029871432459,7.22124199542716,7.47455765777292,6.74474248144755,6.65009982536649
"AANAT",2.39116879756404,2.48835495788609,2.38471053878341,2.38955280362276,2.33765242198313,2.45349876708624,2.56810973775559,2.68820192673973,2.29289589825045,2.5440948709115,2.87295979155253,2.45121130539511,2.57341536702235,2.53670460664359,2.06460584798377,2.44517342163477,2.27993771842381,2.28882218718012,2.61156212988671,2.6553920344286,2.35668949735413,2.27163676103696
"AAR2",5.689271203494,6.28980076339274,6.0791792932318,5.50399134343467,6.09265741208423,5.99018948630351,6.51044865727097,6.1979893808735,5.72026946676538,5.86243218220831,5.8711637040647,6.19917592779284,5.95146360061962,5.9607106298879,5.68848137706922,5.95705343797499,5.88884788614162,5.86716931999148,5.99311489558842,6.32836345721169,5.82537120157285,5.88163833785227
