"Gene","GS","GS_p","MM","MM_p"
"CIDEB",-0.634669335093255,1.39502774441241e-45,-0.727900991486546,6.77661755992634e-66
"CITED2",-0.683147353884343,3.3990378037304e-55,-0.816911086077237,3.03787631674741e-95
"MRGBP",0.657994932111661,5.51489211500023e-50,0.851531545545084,2.05467798092508e-111
"ZDHHC9",0.620701092799354,4.0269603260466e-43,0.834490821202614,5.49621025544622e-103
"NXT1",0.683693480536375,2.5846010396661e-55,0.816630346421672,3.9754645770635e-95
"SOX4",0.647267267160615,6.52288419610039e-48,0.793509105371098,3.83534224126687e-86
"ACADM",-0.613762779840168,6.04795999843212e-42,-0.736239525643465,3.9623533858131e-68
"TMEM220",-0.685355958198203,1.1185259299806e-55,-0.804479717770794,2.95840316692101e-90
"SCML1",0.540721024886245,3.81616020391434e-31,0.741144163886044,1.75548583467214e-69
"SIPA1L2",-0.575138262622242,6.75418025793131e-36,-0.720540807247059,5.42262234436352e-64
"UGP2",-0.771512922469256,1.32800485340298e-78,-0.849198199071527,3.37086181598071e-110
"GLTP",-0.748866956180481,1.12120403891062e-71,-0.853895230372077,1.14942981570783e-112
"RDH5",-0.736920773056202,2.58084352585381e-68,-0.815182031820885,1.58077633983131e-94
"TP53RK",0.606262855350063,1.04970726111798e-40,0.858629710036444,3.05055688807188e-115
"DGAT2",0.604274425575918,2.20892782899017e-40,0.741828872071229,1.12977146258813e-69
"DNTTIP1",0.602029852181732,5.08391638286174e-40,0.806375360449436,5.41850765515648e-91
"GRAMD1A",0.670520916384726,1.62527069932925e-52,0.780949510383595,9.90805807618401e-82
"SNTB1",0.638229489868704,3.14120283442344e-46,0.814798409337841,2.27391937491065e-94
"TOP1MT",0.660513108159881,1.74809495195719e-50,0.839608711743989,2.05733689174612e-105
"SLCO4A1",0.697822156681752,1.74346730314723e-58,0.829846248165804,7.4400781794327e-101
"IL6R",-0.748709795889199,1.2449316720764e-71,-0.839435085892183,2.49474983123015e-105
"FXYD5",0.674181530413017,2.80408273210556e-53,0.753431602982158,5.18039499419365e-73
"PROSER1",0.554965626731348,4.80514565355277e-33,0.787244028669849,6.63953045509265e-84
"ZFAS1",0.673627126961244,3.66500532458823e-53,0.810005007605447,1.9922298138329e-92
"NELFCD",0.633101003528025,2.67381676355045e-45,0.875173605657428,4.85891338782801e-125
"TTI1",0.649624555939298,2.3233970840578e-48,0.883037482179251,3.36081170181806e-130
"PRDX6",-0.701357459942916,2.62279807715998e-59,-0.776596943940276,2.86695980694328e-80
"TENT5A",-0.548588747461149,3.49542079292932e-32,-0.748060990117949,1.91630499319935e-71
"KRT80",0.573424515149457,1.20108098041743e-35,0.704426244936804,4.95190349654339e-60
"P2RY1",-0.660165223312788,2.05014629768127e-50,-0.772594368498919,5.92237694863891e-79
"TCFL5",0.545202038904634,9.85662267610884e-32,0.74356943611759,3.66166205831458e-70
"EEF1AKMT1",0.587579448499016,9.32740692463513e-38,0.763360336004686,5.08380061098554e-76
"LRRC8E",0.629518897130388,1.1652361462025e-44,0.727502344445702,8.62364971461438e-66
"ASAP3",-0.668243310729535,4.78908941492022e-52,-0.812886376564049,1.37515452014755e-93
"MT2A",-0.546271044838524,7.11487519974332e-32,-0.735361157638251,6.87333651058029e-68
"TRPM2",0.623714074095419,1.21559563336824e-43,0.704536453196267,4.66227637827815e-60
"NEBL",0.662842829389267,5.9788664971864e-51,0.821627787209229,3.08572254230065e-97
"CXXC5",0.600699918184278,8.30517345737067e-40,0.75509148538518,1.66536342419273e-73
"CPNE8",-0.666062518010526,1.33581392983624e-51,-0.735846177699521,5.07219318621793e-68
"RAE1",0.658901799035067,3.65087785951742e-50,0.889194319387677,1.66103167717127e-134
"NUFIP1",0.671976059425818,8.1073959104762e-53,0.888254508829475,7.83341783592182e-134
"PPP2R3A",-0.706856268416231,1.30262855382212e-60,-0.765651423183483,9.79357258398964e-77
"DSN1",0.594326897027658,8.45371931755457e-39,0.794698333320489,1.41302651687902e-86
"PRPF6",0.540762903003039,3.76853915802394e-31,0.78291044918375,2.12113483193403e-82
"PDRG1",0.600613202267295,8.57456570488022e-40,0.841336312347108,2.98388919195702e-106
"KCTD9",-0.623290203572467,1.43983665878979e-43,-0.79562484293153,6.4610688589197e-87
"DDX27",0.612090791745002,1.15027802279674e-41,0.8551347423299,2.48273571692124e-113
"ATP11A",0.701562407990218,2.34802233062634e-59,0.875849756972003,1.8061798842089e-125
"SOCS6",-0.598464080485855,1.88559358783697e-39,-0.792146667719795,1.19432889087129e-85
"SLC3A2",0.607666982733896,6.18766485968698e-41,0.741578565606496,1.32749502171065e-69
"FAM8A1",-0.629639177454277,1.10938884162015e-44,-0.737761757073523,1.51744014005236e-68
"ACTL10",0.582055397872654,6.38863890566262e-37,0.759660692305693,6.98522754662925e-75
"CCNYL1",-0.620624897500521,4.15010507618781e-43,-0.734097261389292,1.51253039364558e-67
"LDLRAD3",0.606299163281803,1.03549284552738e-40,0.775277484870824,7.83325300945623e-80
"PLAGL2",0.539151784193241,6.10141814162261e-31,0.771502384314313,1.33846673165992e-78
"EFNA5",-0.586147565427719,1.54136617513403e-37,-0.741423972044819,1.46639738487515e-69
"WDR35",0.541156823598126,3.34840057620878e-31,0.737849471884937,1.4355011322324e-68
"FLVCR2",-0.639281745998287,2.01411606015285e-46,-0.77756319790487,1.36726354386258e-80
"ADRM1",0.591861879434391,2.04561405136335e-38,0.820391350624909,1.04115109807873e-96
"GCNT2",-0.706706630734515,1.41483318980795e-60,-0.779202322846629,3.86041009896773e-81
"ATP2B1",-0.620076613319242,5.15331120260198e-43,-0.770064921386394,3.88828613138199e-78
